model,query,response,parsed_json,time_sec
mistral,I want a long-lasting perfume for girls,"{
  ""category"": ""perfume"",
  ""gender"": ""female"",
  ""longevity"": ""long lasting""
}","{'category': 'perfume', 'gender': 'female', 'longevity': 'long lasting'}",20.337
mistral,Recommend a fresh perfume for men in summer,"{
  ""category"": ""perfume"",
  ""gender"": ""male"",
  ""longevity"": ""moderate"",
  ""suitable_season"": [""summer""],
  ""suitable_time"": [""day""]
}","{'category': 'perfume', 'gender': 'male', 'longevity': 'moderate', 'suitable_season': ['summer'], 'suitable_time': ['day']}",3.36
mistral,Suggest a perfume for winter evenings,"{
  ""category"": ""perfume"",
  ""suitable_season"": [""winter""],
  ""suitable_time"": [""night""]
}","{'category': 'perfume', 'suitable_season': ['winter'], 'suitable_time': ['night']}",2.159
mistral,Looking for a floral scent for women,"{
  ""category"": ""perfume"",
  ""gender"": ""female"",
  ""longevity"": null,
  ""sillage"": null,
  ""suitable_season"": null,
  ""suitable_time"": null
}","{'category': 'perfume', 'gender': 'female', 'longevity': None, 'sillage': None, 'suitable_season': None, 'suitable_time': None}",3.483
mistral,I need a perfume with good sillage,"{
  ""category"": ""perfume"",
  ""sillage"": ""moderate""
}","{'category': 'perfume', 'sillage': 'moderate'}",1.572
mistral,Unisex fragrance for spring mornings,"{
  ""category"": ""perfume"",
  ""gender"": ""unisex"",
  ""suitable_season"": [""spring""],
  ""suitable_time"": [""day""]
}","{'category': 'perfume', 'gender': 'unisex', 'suitable_season': ['spring'], 'suitable_time': ['day']}",2.656
mistral,Something sexy and musky for date night,"{
  ""category"": ""perfume"",
  ""gender"": ""unisex"",
  ""sillage"": ""strong"",
  ""suitable_time"": [""night""]
}","{'category': 'perfume', 'gender': 'unisex', 'sillage': 'strong', 'suitable_time': ['night']}",2.604
mistral,A perfume that projects strongly and lasts foreverGender-neutral office-safe scent for daily wear.,"{
  ""category"": ""perfume"",
  ""gender"": ""unisex"",
  ""longevity"": ""eternal"",
  ""sillage"": ""strong"",
  ""suitable_season"": [],
  ""suitable_time"": [""day""]
}","{'category': 'perfume', 'gender': 'unisex', 'longevity': 'eternal', 'sillage': 'strong', 'suitable_season': [], 'suitable_time': ['day']}",4.031
mistral,"All-year-round clean perfume, from day to night.","{
  ""category"": ""perfume"",
  ""longevity"": ""moderate"",
  ""suitable_season"": [""spring"", ""summer"", ""autumn"", ""winter""],
  ""suitable_time"": [""day"", ""night""]
}","{'category': 'perfume', 'longevity': 'moderate', 'suitable_season': ['spring', 'summer', 'autumn', 'winter'], 'suitable_time': ['day', 'night']}",3.642
mistral,"Not too heavy, lasts a while; good for spring classes.","{
  ""category"": ""perfume"",
  ""longevity"": ""moderate""
  ""suitable_season"": [""spring""]
}",,2.211
